"ID","Title","Created By","Created On","Expected Result","Preconditions","Section","Steps"
"C8","Logowanie -negatywny - błędne podanie hasła i blokada konta","Agnieszka Mika","9/5/2022 8:48 PM","Pole ""Login"" wypełnione jest wybranym loginem
Pole ""Hasło"" jest wypełnione gwiazdkami
Wyświetla się okno dialogowe z komunikatem o błędnym haśle i ostrzeżeniem, że po 3 błędnych próbach logowania konto zostanie zablokowane
Wyświetla się okno dialogowe z komunikatem ""Konto zablokowane. Skontaktuj sie z administratorem strony lub odzyskaj dostęp do konta""","Dostęp do internetu,
 Otwarte okno logowania aplikacji MrBuggy 3, przygotowane dane do logowania:
login: agamika12
e-mail: xahene4015@vpsrec.com
hasło: Testowanie12345!@#$%","Logowanie",""
"C9","Logowanie - pozytywny","Agnieszka Mika","9/5/2022 8:48 PM","Pole ""Login"" wypełnione jest wybranym loginem
Pole ""Hasło"" jest wypełnione gwiazdkami
Wyświetla się okno dialogowe z możliwością wyboru 1 z trzech trybów pracy:
 Kategoria drużynowa:
 *kapitan drużyny
 *członek drużyny
 Kategoria indywidualna:
 *zawodnik
Wyświetla się okno z zadaniami aplikacji MrBuggy3","Dostęp do internetu,
 Otwarte okno logowania aplikacji MrBuggy 3, przygotowane dane do logowania:
login: agamika12
e-mail: xahene4015@vpsrec.com
hasło: Testowanie12345!@#$%","Logowanie",""
"C26","Sprawdzenie procedury przywracania i odzyskiwania konta","Agnieszka Mika","9/5/2022 8:48 PM","Wyświetla się okno dialogowe z komunikatem ""Konto zablokowane. Skontaktuj sie z administratorem strony lub odzyskaj dostęp do konta""
Otwiera się okno z formularzem do odzyskiwania dostępu do konta z polem do wypełnienia ""Adres e-mail"" i przyciskiem ""Przywróć dostęp""
Wyświetla się okno dialogowe z komunikatem, że na podany adres e-mail zostało wysłane tymczasowe hasło
Procedura logowania zakończyła się pozytywnie","Dostęp do internetu, 
 Otwarte okno logowania aplikacji MrBuggy3, przygotowane dane do logowania:
 login:
 e-mail:
 hasło: Testowanie12345!@#$%","Logowanie",""
"C11","Wygląd okna aplikacji - rozmieszczenie i główne pola","Agnieszka Mika","9/5/2022 8:48 PM","Widzę, że okno aplikacji podzielone jest na 2 części: okno ""Zadania"" i ""Menu boczne"" oraz w oknie umieszczona jest ikona MrBuggy3
""Menu boczne"" zawiera funkcje zgodne z mockup, czyli zawiera pola: Czas, Opis Zadania, Nr zadania, Lista zadań, przyciski nawigacyjne ""Poprzednie"" i ""Następne"", przycisk ""Znalazłem defekt"", przycisk ""Zakończ"", przycisk ""Status połączenia""","Dostęp do internetu,
 Uruchomiona aplikacja Mr Buggy3","Wygląd i funkcje",""
"C12","Sprawdzenie języka komunikatów oraz nazw klawiszy i funkcji","Agnieszka Mika","9/5/2022 8:48 PM","Wszystkie przyciski i wyświetlone okno dialogowe o błędzie jest w języku polskim
Wyświetla się okno dialogowe z wyborem trybu pracy jest w języku polskim
Wyświetla się okno z zadaniami aplikacji MrBuggy3, wszystkie przyciski i funkcje i zadania opisane są w języku polskim
Wyświetla się okno dialogowe w języku polskim do potwierdzenia zakończenia pracy","Dostęp do internetu,
 Otwarte okno logowania aplikacji MrBuggy 3, przygotowane dane do logowania:
 login: agamika12
 e-mail: xahene4015@vpsrec.com
 hasło: Testowanie12345!@#$%","Wygląd i funkcje",""
"C13","Test przycisków nawigacyjnych - “Następne” i “Poprzednie”","Agnieszka Mika","9/5/2022 8:48 PM","W oknie ""Zadania"" wyświetla się zadanie z nr ostatnim, zmienia się opis w polu Opis Zadania oraz numer w polu Nr Zadania
W oknie ""Zadania"" wyświetla się ponownie zadanie nr 1, zmienia się opis w polu Opis Zadania oraz numer w polu Nr Zadania
W oknie ""Zadania"" wyświetla się zadanie nr 2, zmienia się opis w polu Opis Zadania oraz numer w polu Nr Zadania","Dostęp do internetu,
 Uruchomiona aplikacja Mr Buggy3, 
 w oknie ""Zadania"" wyświetlone zadanie nr 1","Wygląd i funkcje",""
"C14","Czas trwania przełączania pomiędzy zadaniami","Agnieszka Mika","9/5/2022 8:48 PM","Zadanie nr 2 wyświetla się w czasie nie dłuższym niż 1 sekunda
Kolejne zadanie wyświetla się w czasie nie dłuższym niż 1 sekunda","Dostęp do internetu,
 Uruchomiona aplikacja Mr Buggy3, 
 w oknie ""Zadania"" wyświetlone zadanie nr 1","Wygląd i funkcje",""
"C15","Wygląd i nawigacja w polu ""Lista zadań""","Agnieszka Mika","9/5/2022 8:48 PM","""Lista zadań"" ma możliwość przewijania
Przewijanie działa, a ikona otwartego zadania podświetlona jest na liście w kolorze czarnym
Ikona zadania zrobionego podświetlona jest na liście w kolorze wyszarzonym i jest nieaktywna
Ikona zadania do zrobienia podświetlona jest na liście w kolorze białym i jest aktywna","Dostęp do internetu,
 Uruchomiona aplikacja MrBuggy3,
 Wykonane co najmniej jedno zadanie z aplikacji,
 Otwarte zadanie do zrobienia","Wygląd i funkcje",""
"C16","Pole “Nr zadania” i ""Opis Zadania"" - test zgodności numeracji z Oknem ""Zadania""","Agnieszka Mika","9/5/2022 8:48 PM","Pola ""Opis zadania"" i ""Nr zadania"" zawierają informację dopasowaną do wyświetlanego zadania w polu ""Zadania"". Opis zadania zawiera punktację.
W oknie ""Zadania"" wyświetla się zadanie oraz w polu ""Nr zadania"" wyświetla jego numer który jest zgodny z numerem na ikonie się, treść zadania i jego opis zadania również są zgodne
W oknie ""Zadania"" wyświetla się ponownie zadanie pierwsze oraz w polu ""Nr zadania"" wyświetla się treść ""Zadanie 1"", a w polu ""Opis zadania"" wyświetla się ponownie opis zadania nr 1","Dostęp do internetu,
 Uruchomiona aplikacja Mr Buggy3, 
 w oknie ""Zadania"" wyświetlone zadanie nr 1","Wygląd i funkcje",""
"C17","Weryfikacja formatu pola ""Czas"" i czasu trwania rundy","Agnieszka Mika","9/5/2022 8:48 PM","Pole ""czas"" wyświetla czas do zakończenia trwania rundy w ujeciu hh:mm:ss. Czas rundy nie przekracza 2h
Po 2 godzinach runda zostaje automatycznie zakończona","Uruchomiona aplikacja Mr Buggy3, tryb pracy bez znaczenia","Wygląd i funkcje",""
"C18","Test uprawnień do raportowania defektów - Kapitan drużyny","Agnieszka Mika","9/5/2022 8:48 PM","Wyświetla się okno do zgłaszania defektu
Pojawia się komunikat: ""Zgłoszenie defektu przebiegło pomyślnie, ilość przyznanych pkt to … ""
Następuje powrót do okna z zadaniami.","Uruchomiona aplikacja MrBuggy3 w trybie pracy: kapitan. Otwarte losowe zadanie ze zlokalizowanym defektem.","Wygląd i funkcje",""
"C19","Test uprawnień do raportowania defektów - Członek drużyny","Agnieszka Mika","9/5/2022 8:48 PM","Pojawia się komunikat: ""Funkcja jest dostępna w trybie kapitana drużyny. Brak możliwości zmiany trybu podczas trwania rozgrywki.""
Następuje powrót do okna z zadaniami.","Dostęp do internetu,
 Uruchomiona aplikacja MrBuggy3 w trybie pracy: członek drużyny. 
 Otwarte losowe zadanie ze zlokalizowanym defektem.","Wygląd i funkcje",""
"C20","Test uprawnień do raportowania defektów - Zawodnik","Agnieszka Mika","9/5/2022 8:48 PM","Wyświetla się okno do zgłaszania defektu
Pojawia się komunikat: ""Zgłoszenie defektu przebiegło pomyślnie, ilość przyznanych pkt to … ""
Następuje powrót do okna z zadaniami.","Dostęp do internetu,
 Uruchomiona aplikacja MrBuggy3 w trybie pracy: zawodnik.
 Otwarte losowe zadanie ze zlokalizowanym defektem.","Wygląd i funkcje",""
"C21","Zakończenie pracy aplikacji - eksport danych do pliku tekstowego","Agnieszka Mika","9/5/2022 8:48 PM","Pojawia się okno z komunikatem: Po zakończeniu Twoje wyniki zostaną podliczone i wysłane do raportu zbiorczego. Czy na pewno chcesz zakończyć rozgrywkę?""
Pojawia się okno dialogowe z checkbox'em
 ""Wyeksportuj do pliku"" i
 przyciskiem ""Zakończ""
Wyświetlone zostaje okno dialogowe ""Gdzie zapisać plik?"" z możliwością wskazania lokalizacji na dysku komputera
Plik tekstowy zostaje zapisany we wskazanej lokalizacji, pojawia się komunikat: ""Dziennik zdarzeń i raport zostały pomyślnie wysłane"", czas generowania raportu jest poniżej 1s, aplikacja się zamyka.","Dostęp do internetu, 
 Uruchomiona aplikacja MrBuggy3 w trybie pracy: zawodnik.","Wygląd i funkcje",""
"C22","Zakończenie pracy aplikacji - przycisk ""Zakończ"", generowanie dziennika zdarzeń i eksport wyników, czas odpowiedzi interfejsu poniżej 1s","Agnieszka Mika","9/5/2022 8:48 PM","Pojawia się okno z komunikatem: Po zakończeniu Twoje wyniki zostaną podliczone i wysłane do raportu zbiorczego. Czy na pewno chcesz zakończyć rozgrywkę?""
Następuje powrót do okna z zadaniami.
Pojawia się okno z komunikatem: Po zakończeniu Twoje wyniki zostaną podliczone i wysłane do raportu zbiorczego. Czy na pewno chcesz zakończyć rozgrywkę?""
Pojawia się okno dialogowe z checkboxem
 ""Wyeksportuj do pliku"" i
 przyciskiem ""Zakończ""
Pojawia się komunikat: ""Dziennik zdarzeń i raport zostały pomyślnie wysłane"", czas generowania raportu jest poniżej 1s, aplikacja się zamyka.","Dostęp do internetu, 
 Uruchomiona aplikacja MrBuggy3 w trybie pracy: zawodnik.","Wygląd i funkcje",""
"C23","Sprawdzenie punktacji zadań i występowania pojedynczych defektów w zadaniach","Agnieszka Mika","9/5/2022 8:48 PM","Wyświetla się okno do zgłaszania defektu
Pojawia się komunikat: ""Zgłoszenie defektu przebiegło pomyślnie, ilość przyznanych pkt to 1.""
Następuje powrót do okna z zadaniami. W oknie aplikacji wyświetlona jest liczba zdobytych punktów.
Liczby punktów są zgodne ze opisem zadania i suma punktów po każdym zadaniu jest poprawna .
Wyświetla się okno do zgłaszania defektu
Pojawia się komunikat: ""Zgłoszenie defektu przebiegło pomyślnie, ilość przyznanych pkt to -2."" Suma punktów jest pomniejszona o 2.
Następuje powrót do okna z zadaniami.
Suma punktów po zakończeniu rozgrywki nie zmienia co oznacza, że za pozostałe niezgłoszone zadania jest 0pkt.","Dostęp do internetu,
 Uruchomiona aplikacja MrBuggy3 w trybie pracy: zawodnik. 
 Przejrzane zadania, do przetestowania 7 zadań każde o innej punktacji tj.: 1pkt, 2pkt, 3pkt, 4pkt, 5pkt, 6pkt i jedno losowo wybrane.","Wygląd i funkcje",""
"C24","Liczba wyświetlonych zadań i ich losowa kolejność","Agnieszka Mika","9/5/2022 8:48 PM","Na Liście zadań wyświetlonych jest 15 zadań.
Aplikacja uruchamia się poprawnie
Zadania z drugiego logowania różnią się od zadań z pierwszego logowania","Dostęp do internetu,
 Uruchomiona aplikacja Mr Buggy3, 
 w oknie ""Zadania"" wyświetlone zadanie nr 1","Wygląd i funkcje",""
"C27","Sprawdzenie działania aplikacji - brak połączenia sieciowego","Agnieszka Mika","9/5/2022 8:48 PM","Aplikacja nie reaguje na brak internetu
Zadanie wczytuje się poprawnie tzn. w oknie ""Zadania"" wyświetla się zadanie oraz w polu ""Nr zadania"" wyświetla jego numer, który jest zgodny z numerem na ikonie się, treść zadania i jego opis zadania również są zgodne
Wyświetla się okno do zgłaszania defektu
Pojawia się komunikat: ""Zgłoszenie defektu przebiegło pomyślnie, ilość przyznanych pkt to...""
Następuje powrót do okna z zadaniami.
Pojawia się okno z komunikatem: Po zakończeniu Twoje wyniki zostaną podliczone i wysłane do raportu zbiorczego. Czy na pewno chcesz zakończyć rozgrywkę?""
Wyświetla się okno dialogowe z komunikatem: ""Brak połączenia z serwerem. Wyeksportuj dane do pliku.""
Plik tekstowy zostaje zapisany we wskazanej lokalizacji, pojawia się komunikat: ""Dziennik zdarzeń i raport zostały pomyślnie wysłane"", aplikacja się zamyka.","Dostęp do internetu, 
 Uruchomiona aplikacja MrBuggy3 w trybie pracy: zawodnik.","Wygląd i funkcje",""
